gene_ID,C_0,C_15,C_30,C_60,S_0,S_15,S_30,S_60,WT_0,WT_15,WT_30,WT_60,log2fc_C_0_WT_0,log2fc_C_15_WT_15,log2fc_C_30_WT_30,log2fc_C_60_WT_60,log2fc_S_0_WT_0,log2fc_S_15_WT_15,log2fc_S_30_WT_30,log2fc_S_60_WT_60,qC_0_WT_0,qC_15_WT_15,qC_30_WT_30,qC_60_WT_60,qS_0_WT_0,qS_15_WT_15,qS_30_WT_30,qS_60_WT_60,cluster
AT1G02205,5.5714,2.45331,2.40307,3.49719,6.27989,2.32457,4.93974,5.93609,19.6601,19.4464,16.5717,19.6108,1.81915,2.9867,2.78577,2.48738,1.64646,3.06447,1.74621,1.72407,0.00225554,0.00225554,0.00225554,0.00225554,0.00415009,0.00225554,0.00225554,0.00225554,1
AT1G02390,2.58565,8.04626,3.16797,5.29238,1.98389,6.69066,6.12457,6.91389,11.7652,18.9569,14.8131,13.9031,2.18592,1.23633,2.22525,1.39342,2.56812,1.5025,1.2742,1.00784,0.00225554,0.0232287,0.00225554,0.00587253,0.00225554,0.00225554,0.0381382,0.0820379,1
AT1G07610,533.015,524.2,531.967,400.076,491.61,496.972,551.003,364.394,530.103,713.358,776.517,1015.89,-0.00790336,0.444509,0.545681,1.3444,0.108758,0.521463,0.494957,1.47918,0.999842,0.860089,0.544846,0.0430158,0.999842,0.687285,0.639703,0.0208548,1
AT1G08650,73.6065,76.5146,58.8848,53.1726,69.4815,71.2733,74.6242,57.496,118.861,84.9974,93.7338,109.596,0.69137,0.151684,0.670676,1.04343,0.774574,0.254057,0.328926,0.930656,0.234719,0.999842,0.27186,0.0208548,0.144339,0.999842,0.999842,0.0567395,1
AT1G12110,43.4083,39.2092,41.2587,42.0348,43.7001,29.5916,36.8708,42.0237,62.7646,71.4935,56.1398,59.7988,0.53198,0.866621,0.444325,0.508533,0.522312,1.27262,0.606548,0.508913,0.574382,0.120122,0.777401,0.628759,0.602669,0.00225554,0.395239,0.642137,1
AT1G16500,4.42669,4.93249,7.40981,9.30394,4.3581,3.98525,5.42382,7.94119,7.26924,6.40931,14.3743,16.0128,0.715576,0.377854,0.955983,0.783307,0.738106,0.685498,1.40611,1.01179,0.587146,0.999842,0.129045,0.282644,0.595485,0.754775,0.00587253,0.0939512,1
AT1G29230,0.466583,1.05517,0.577301,0.375181,0.865238,0.859328,1.70753,0.687651,1.10256,1.37361,1.72124,3.00258,1.24066,0.380497,1.57605,3.00055,0.349694,0.676694,0.0115401,2.12645,0.475731,0.999842,0.129045,0.00225554,0.999842,0.999842,0.999842,0.028818,1
AT1G30260,12.5456,17.9413,17.8037,18.5948,15.1385,13.7336,13.1503,17.7718,35.3685,31.0721,37.2989,44.4874,1.49529,0.792338,1.06696,1.25849,1.22424,1.1779,1.50404,1.3238,0.00587253,0.3891,0.0567395,0.00415009,0.0171885,0.0602062,0.00225554,0.00587253,1
AT1G30700,3.29477,3.38458,3.6885,3.88338,0.765889,1.39748,8.64993,7.00855,8.66393,1.88942,15.6767,14.4489,1.39484,-0.841031,2.08752,1.89557,3.49981,0.435116,0.857862,1.04377,0.124633,0.648029,0.00225554,0.00415009,0.00225554,0.999842,0.525179,0.143766,1
AT1G45191,19.6761,33.3929,25.047,6.80717,20.1365,21.8226,16.8203,7.15143,42.6737,61.496,47.9847,13.4607,1.1169,0.880952,0.937935,0.983626,1.08353,1.49467,1.51237,0.91245,0.0196585,0.328746,0.173618,0.147916,0.028818,0.00415009,0.00415009,0.154353,1
AT1G51270,1.14725,2.53464,2.56964,6.65343,0.833944,2.3932,3.45847,4.60651,2.76028,4.66046,8.05374,10.184,1.26664,0.878692,1.64809,0.61413,1.72679,0.961528,1.21952,1.14455,0.11627,0.613487,0.0320121,0.65178,0.0255307,0.523174,0.225254,0.0522654,1
AT1G52080,4.74828,2.53534,3.7156,2.83739,6.22234,4.02691,4.26939,2.76071,7.42484,5.58628,5.49951,7.43442,0.644954,1.13971,0.565708,1.38966,0.254903,0.472216,0.365273,1.42918,0.52031,0.0835581,0.66825,0.0184341,0.999842,0.939615,0.999842,0.0171885,1
AT1G53840,24.5998,18.3885,18.7314,22.9529,28.2784,16.0068,19.2003,23.1718,32.1039,32.1021,25.5291,30.4986,0.384101,0.803863,0.446684,0.410065,0.183045,1.00399,0.411017,0.396373,0.925316,0.173076,0.770265,0.885492,0.999842,0.0467763,0.877066,0.89077,1
AT1G55020,6.5289,5.98967,9.10343,7.11489,7.59514,8.06088,9.0612,9.83059,13.9734,16.4162,18.6598,21.4582,1.09777,1.45457,1.03545,1.59262,0.879537,1.02611,1.04216,1.12618,0.00901084,0.00225554,0.0196585,0.00225554,0.0710676,0.0277452,0.00901084,0.00901084,1
AT1G60190,11.4603,18.9459,9.44703,7.99396,13.6968,18.0996,21.8816,12.2348,22.6088,14.347,13.1995,22.1494,0.980246,-0.401133,0.482554,1.47028,0.723046,-0.335203,-0.729229,0.856276,0.175807,0.999842,0.763977,0.0486053,0.523631,0.999842,0.281471,0.52216,1
AT1G62660,21.6653,26.5219,30.4947,41.0745,29.9018,16.7977,25.4786,34.9558,37.0652,47.971,42.255,52.9058,0.774678,0.854977,0.470563,0.365184,0.309833,1.5139,0.729835,0.597892,0.164776,0.145593,0.778243,0.999842,0.999842,0.00225554,0.203282,0.500215,1
AT1G64940,0.815524,0.319866,1.51053,1.27159,1.54836,0.726166,1.52331,0.621041,2.81492,1.1849,2.99658,2.95735,1.7873,1.88923,0.988261,1.21768,0.862358,0.706396,0.976107,2.25155,0.0975509,0.249058,0.66746,0.304037,0.837533,0.999842,0.630726,0.0243883,1
AT1G65390,0.241643,3.90884,6.69367,10.0586,0.198517,4.63664,6.17128,10.4681,0.95696,33.5761,24.0952,29.7212,1.98558,3.10262,1.84787,1.56307,2.2692,2.85628,1.9651,1.5055,0.0954246,0.00225554,0.00225554,0.0330747,0.0805217,0.00225554,0.00225554,0.0584616,1
AT1G65450,0.0274027,0.00858545,0.11429,0.0260885,0.0105701,0,0,0.00728406,0.327764,0.309524,0.33625,0.25675,3.58026,5.17201,1.55683,3.29888,4.9546,65535,65535,5.13948,0.959531,0.999842,0.999842,0.999842,0.999842,0.00225554,0.0774578,0.999842,1
AT1G66725,12.3396,8.2858,15.0554,16.1617,16.7953,12.2938,10.9772,15.6221,43.9333,32.7043,45.6879,59.5319,1.83202,1.98077,1.60153,1.88109,1.38725,1.41155,2.05731,1.93007,0.00225554,0.00225554,0.00225554,0.00225554,0.00415009,0.0243883,0.00225554,0.00225554,1
AT1G69720,1.67417,1.20426,1.26203,1.95774,3.04113,1.11183,0.978601,1.20945,5.91511,3.62707,6.461,7.66884,1.82096,1.59067,2.35601,1.96982,0.959798,1.70587,2.72297,2.66465,0.0243883,0.168128,0.00587253,0.0146178,0.512834,0.742404,0.00225554,0.00225554,1
AT1G77500,5.35591,3.17229,5.18444,6.60995,4.89528,4.6313,5.59023,7.23097,6.88918,7.61982,9.41979,11.9835,0.363202,1.26423,0.861506,0.858341,0.492942,0.718341,0.752787,0.728791,0.997825,0.0146178,0.0820379,0.138316,0.703293,0.332256,0.188206,0.273922,1
AT1G07200,4.48642,3.83256,4.73084,3.82063,4.3015,4.43089,3.50116,3.49755,10.2873,9.51071,10.1963,9.04064,1.19723,1.31124,1.10788,1.24261,1.25795,1.10195,1.54214,1.37008,0.0146178,0.00587253,0.0118963,0.00415009,0.00901084,0.0430158,0.00225554,0.00225554,1
AT1G07500,4.0573,15.0299,3.43644,3.94813,2.42156,4.17165,1.90672,0,3.96888,12.0557,11.932,7.51096,-0.0317906,-0.318112,1.79584,0.927827,0.712796,1.53103,2.64567,65535,0.999842,0.999842,0.699266,0.999842,0.999842,0.941042,0.675933,0.00225554,1
AT1G08290,0.752269,0.808328,0.733209,0.72189,1.14483,0.759752,0.929988,0.629055,1.55326,1.33643,1.39061,2.17654,1.04598,0.725372,0.923423,1.59219,0.440166,0.814785,0.580435,1.79078,0.458491,0.931926,0.578276,0.0644722,0.999842,0.812528,0.999842,0.0371458,1
