gene_ID,WT_0,WT_15,WT_30,WT_60,log2fc_WT_0_WT_15,log2fc_WT_0_WT_30,log2fc_WT_0_WT_60,log2fc_WT_15_WT_30,log2fc_WT_15_WT_60,log2fc_WT_30_WT_60,qWT_0_WT_15,qWT_0_WT_30,qWT_0_WT_60,qWT_15_WT_30,qWT_15_WT_60,qWT_30_WT_60,cluster
AT1G01240,8.53432,2.82844,6.66438,16.1595,-1.59327,-0.356805,0.92103,1.23647,2.5143,1.27784,0.0118963,0.999842,0.363802,0.156065,0.00225554,0.0975509,1
AT1G01480,3.7702,0.707219,1.68489,7.11403,-2.41441,-1.16198,0.916027,1.25243,3.33044,2.07801,0.00225554,0.908743,0.56537,0.924517,0.00225554,0.475731,1
AT1G01520,18.6125,14.4001,12.3778,4.19722,-0.370191,-0.588514,-2.14877,-0.218324,-1.77858,-1.56025,0.999842,0.621356,0.00225554,0.999842,0.0132684,0.0118963,2
AT1G01560,2.49876,1.69899,2.80758,35.3911,-0.556535,0.168116,3.8241,0.724651,4.38064,3.65599,0.999842,0.999842,0.00225554,0.877967,0.00225554,0.00225554,1
AT1G02300,3.9774,2.93617,3.98607,8.88936,-0.43789,0.00314109,1.16025,0.441031,1.59814,1.15711,0.999842,0.999842,0.0866002,0.999842,0.0220541,0.0866002,1
AT1G02400,10.1357,2.42403,7.31822,19.5559,-2.06396,-0.469877,0.948159,1.59409,3.01212,1.41804,0.015928,0.999842,0.39463,0.0718803,0.00225554,0.0439841,1
AT1G03220,91.9139,72.5302,231.848,267.24,-0.341701,1.33482,1.53978,1.67653,1.88148,0.204957,0.999842,0.166435,0.0576151,0.0371458,0.00225554,0.999842,3
AT1G03230,3.26798,4.57536,6.41977,15.2647,0.485487,0.974123,2.22373,0.488636,1.73824,1.2496,0.999842,0.216108,0.00225554,0.999842,0.00225554,0.0277452,1
AT1G03290,19.3254,9.72575,12.469,21.2547,-0.990619,-0.632151,0.137279,0.358467,1.1279,0.76943,0.0751204,0.440298,0.999842,0.999842,0.0196585,0.197191,4
AT1G03370,6.86111,8.41177,12.1498,21.8369,0.293967,0.824424,1.67026,0.530457,1.37629,0.845831,0.999842,0.141993,0.00225554,0.737561,0.00415009,0.134684,1
AT1G03495,52.8576,49.6622,49.0094,22.2806,-0.0899613,-0.109051,-1.24632,-0.0190894,-1.15636,-1.13727,0.999842,0.999842,0.00415009,0.999842,0.0146178,0.0196585,5
AT1G03740,5.25328,8.99475,11.0989,30.8262,0.775866,1.07913,2.55287,0.303265,1.777,1.47374,0.256674,0.0243883,0.00225554,0.999842,0.00225554,0.00415009,1
AT1G03790,1.94783,0,1.00588,2.1399,65535,-0.953417,0.135676,65535,65535,1.08909,0.00225554,0.905711,0.999842,0.00225554,0.00225554,0.766219,4
AT1G04250,193.787,199.353,174.271,93.8143,0.0408576,-0.153139,-1.04659,-0.193997,-1.08745,-0.893452,0.999842,0.999842,0.0184341,0.999842,0.0309671,0.0910546,2
AT1G05000,3.54007,2.31541,3.20084,7.44392,-0.612508,-0.145325,1.07229,0.467183,1.6848,1.21761,0.986327,0.999842,0.181752,0.999842,0.0220541,0.0961276,1
AT1G05100,5.99734,3.01487,3.48432,18.9632,-0.992228,-0.783444,1.66081,0.208784,2.65304,2.44425,0.431275,0.630557,0.0351302,0.999842,0.00225554,0.00225554,1
AT1G05805,6.26131,5.24948,5.74839,13.9283,-0.25429,-0.123307,1.15349,0.130983,1.40778,1.27679,0.999842,0.999842,0.028818,0.999842,0.0320121,0.0196585,1
AT1G06180,14.5947,10.985,8.7568,6.1861,-0.409906,-0.736972,-1.23834,-0.327066,-0.828439,-0.501373,0.999842,0.348569,0.0391221,0.999842,0.403215,0.92867,2
AT1G06620,3.35486,8.06518,5.3048,15.4128,1.26545,0.661045,2.1998,-0.604409,0.93435,1.53876,0.0661732,0.689118,0.00225554,0.765478,0.150264,0.00225554,6
AT1G07240,7.42444,7.8592,8.8672,14.8769,0.0821006,0.256195,1.00272,0.174095,0.920623,0.746528,0.999842,0.999842,0.0430158,0.999842,0.127806,0.229027,1
AT1G07400,152.896,383.466,853.973,97.3976,1.32655,2.48164,-0.65059,1.15509,-1.97714,-3.13223,0.0232287,0.00225554,0.661621,0.256674,0.00225554,0.00225554,7
AT1G07630,6.91585,6.00519,7.8039,14.4523,-0.203696,0.174289,1.06332,0.377985,1.26702,0.889032,0.999842,0.999842,0.0196585,0.999842,0.00415009,0.0961276,1
AT1G08920,26.5613,10.0775,26.8097,40.1335,-1.39819,0.0134294,0.595482,1.41162,1.99367,0.582053,0.134039,0.999842,0.989068,0.0805217,0.00587253,0.97469,3
AT1G08930,21.4362,111.474,116.904,254.091,2.37858,2.44721,3.56722,0.0686256,1.18864,1.12002,0.00225554,0.00225554,0.00225554,0.999842,0.0619243,0.116902,8
AT1G08940,4.85363,2.50803,6.1774,13.4698,-0.952511,0.347934,1.47259,1.30045,2.42511,1.12466,0.587553,0.999842,0.028818,0.214661,0.00415009,0.16305,3
AT1G08980,2.68969,2.18596,2.41473,7.45782,-0.299175,-0.155576,1.47131,0.143598,1.77049,1.62689,0.999842,0.999842,0.0132684,0.999842,0.00901084,0.0104867,1
AT1G09070,127.512,301.388,210.772,256.878,1.24099,0.725046,1.01045,-0.515941,-0.230536,0.285405,0.0171885,0.32836,0.0670039,0.80535,0.999842,0.999842,8
AT1G09430,30.813,20.3599,24.813,41.1211,-0.597809,-0.312443,0.416342,0.285366,1.01415,0.728785,0.505349,0.999842,0.906455,0.999842,0.0486053,0.268495,1
AT1G09510,0.739215,0.393598,2.40772,3.71755,-0.909272,1.7036,2.33029,2.61287,3.23956,0.626682,0.999842,0.398221,0.121428,0.0751204,0.0208548,0.999842,3
AT1G09970,37.0691,83.1713,85.053,192.609,1.16587,1.19815,2.37738,0.0322774,1.21151,1.17924,0.0146178,0.00415009,0.00225554,0.999842,0.0196585,0.0104867,1
AT1G10060,1.1707,1.81807,1.52111,3.4665,0.635035,0.377751,1.56611,-0.257284,0.931071,1.18836,0.972966,0.999842,0.0277452,0.999842,0.420891,0.140794,1
AT1G11050,8.19025,54.4484,18.0104,27.1351,2.73291,1.13685,1.72818,-1.59606,-1.00473,0.591326,0.00225554,0.0118963,0.00225554,0.00225554,0.138926,0.639045,9
AT1G11260,2.49339,3.50283,2.94952,13.3249,0.49041,0.242369,2.41795,-0.248041,1.92754,2.17558,0.999842,0.999842,0.00225554,0.999842,0.00225554,0.00225554,1
AT1G11300,1.19126,3.06892,4.98599,3.78243,1.36524,2.06539,1.66682,0.70015,0.301583,-0.398567,0.00748685,0.00225554,0.00225554,0.383051,0.999842,0.962806,7
AT1G11330,12.8642,5.83826,9.20177,18.2971,-1.13975,-0.483383,0.508249,0.656372,1.648,0.991631,0.0277452,0.768654,0.718828,0.439216,0.00225554,0.0391221,1
AT1G11410,15.6137,12.5612,11.8623,6.96335,-0.313838,-0.396431,-1.16496,-0.0825924,-0.851117,-0.768524,0.999842,0.877606,0.00225554,0.999842,0.135918,0.144339,2
AT1G11700,75.7658,48.31,54.2587,28.121,-0.649224,-0.481692,-1.4299,0.167532,-0.780676,-0.948208,0.425508,0.715788,0.00225554,0.999842,0.269735,0.0558756,2
AT1G11850,2.88302,1.15437,0.477842,3.8761,-1.32048,-2.59297,0.427026,-1.2725,1.7475,3.02,0.742404,0.042046,0.999842,0.828215,0.837077,0.315299,4
AT1G12060,17.7571,20.4308,18.7666,7.82515,0.202349,0.0797681,-1.18221,-0.122581,-1.38456,-1.26197,0.999842,0.999842,0.073519,0.999842,0.0558756,0.0495276,5
AT1G12320,4.8157,2.11913,3.64738,7.42235,-1.18427,-0.400883,0.624132,0.783388,1.8084,1.02502,0.299176,0.999842,0.787122,0.857812,0.0309671,0.299584,1
AT1G12330,5.85088,2.8081,2.36234,2.34419,-1.05906,-1.30844,-1.31956,-0.249379,-0.260506,-0.0111267,0.165329,0.0330747,0.0341157,0.999842,0.999842,0.999842,10
AT1G12460,4.24743,3.73791,2.70363,1.90396,-0.184358,-0.651694,-1.15758,-0.467336,-0.973225,-0.505889,0.999842,0.478917,0.0371458,0.922595,0.154942,0.849884,2
AT1G13110,22.2053,23.1053,44.0737,52.7214,0.0573176,0.989012,1.24748,0.931694,1.19017,0.258472,0.999842,0.0243883,0.00415009,0.0954246,0.00901084,0.999842,3
AT1G13260,3.21146,12.6976,7.057,16.4683,1.98326,1.13582,2.35839,-0.847433,0.375135,1.22257,0.00748685,0.0961276,0.00225554,0.320493,0.999842,0.0220541,6
AT1G14250,55.8401,131.653,111.299,214.888,1.23736,0.995072,1.94421,-0.242292,0.706849,0.949141,0.0196585,0.0540901,0.00225554,0.999842,0.466589,0.102638,6
AT1G14280,36.1413,24.7991,26.8669,15.3984,-0.543365,-0.427821,-1.23087,0.115544,-0.687502,-0.803046,0.604006,0.831046,0.00415009,0.999842,0.337526,0.130284,2
