Gene Name,RMSE
AT1G01010,0.00029116543
AT1G01020,0.0006723299
AT1G01030,0.00075624057
AT1G01040,0.00025387382
AT1G01046,0.0011750367
AT1G01050,0.000772324
AT1G01060,0.00024594303
AT1G01070,0.00067816523
AT1G01080,0.00043643225
AT1G01090,0.00046576455
AT1G01100,0.00072069984
AT1G01110,0.0001984415
AT1G01120,0.0011598318
AT1G01130,0.0061069652
AT1G01140,0.0012985608
AT1G01150,0.00034862716
AT1G01160,0.0023554158
AT1G01170,0.001340854
AT1G01180,0.00041760807
AT1G01190,0.001435018
AT1G01200,0.00068544724
AT1G01210,3.8268743e-05
AT1G01220,0.002006713
AT1G01225,0.00092388847
AT1G01230,0.00067102094
AT1G01240,0.0005559962
AT1G01250,0.0015998193
AT1G01260,0.00019976468
AT1G01280,0.00075757847
AT1G01290,0.004577938
AT1G01300,0.00032021693
AT1G01310,0.000144257
AT1G01320,0.00061454054
AT1G01340,0.0005508468
AT1G01350,0.0015014794
AT1G01355,0.00031638134
AT1G01360,0.0023336206
AT1G01370,0.0011209925
AT1G01380,0.003826878
AT1G01390,0.0031356134
AT1G01410,0.0069746613
AT1G01420,0.011500612
AT1G01430,0.010005833
AT1G01440,0.005344543
AT1G01448,0.0013957882
AT1G01450,0.00053793704
AT1G01453,0.0024307834
AT1G01460,0.000507414
AT1G01470,0.00071326556
AT1G01480,0.00047930318
AT1G01490,0.00017032097
AT1G01500,0.0006106968
AT1G01510,0.00060304446
AT1G01520,0.000911837
AT1G01530,0.0007755946
AT1G01540,0.000890435
AT1G01550,0.0011002384
AT1G01560,0.0011910124
AT1G01570,0.00081457524
AT1G01580,0.0015506032
AT1G01590,0.0022234072
AT1G01600,0.00086238916
AT1G01610,0.0006534697
AT1G01620,0.00056988915
AT1G01630,0.0029562013
AT1G01640,0.000824392
AT1G01650,9.081495e-05
AT1G01660,0.014720411
AT1G01670,0.0021913007
AT1G01680,0.0031385834
AT1G01690,0.0016001862
AT1G01695,0.002490304
AT1G01700,0.00082484767
AT1G01710,0.0003461466
AT1G01720,0.0006687797
AT1G01725,0.0005807518
AT1G01730,0.0007562984
AT1G01740,0.0002521748
AT1G01750,0.0015064891
AT1G01760,0.0014201677
AT1G01770,0.0014377246
AT1G01780,0.0022747784
AT1G01790,0.00091123657
AT1G01800,0.0006470677
AT1G01810,4.4978806e-06
AT1G01820,0.0007141746
AT1G01830,0.00038975902
AT1G01840,9.870477e-05
AT1G01860,0.000578134
AT1G01880,0.00138861
AT1G01900,8.656879e-05
AT1G01910,8.1731676e-05
AT1G01920,0.00058551884
AT1G01930,0.0004015771
AT1G01940,0.0035180098
AT1G01950,0.0014753817
AT1G01960,0.0005752314
AT1G01970,0.00019790186
AT1G01980,0.00081396126
AT1G01990,0.0007673994
AT1G02000,0.0010327552
AT1G02010,0.0030749035
AT1G02020,0.0004513265
AT1G02030,0.0002952536
AT1G02040,0.005874546
AT1G02050,0.00048327743
AT1G02060,0.0002908344
AT1G02065,0.0014258624
AT1G02070,0.0019885611
AT1G02080,0.0003779679
AT1G02090,0.00035397348
AT1G02100,0.0012398397
AT1G02110,0.00061026594
AT1G02120,0.0032818827
AT1G02130,0.0031791944
AT1G02140,0.0014783852
AT1G02145,0.0007215397
AT1G02150,0.0005791548
AT1G02160,0.0006162294
AT1G02170,0.00046514338
AT1G02180,0.00018489425
AT1G02190,0.0007469235
AT1G02205,0.0016471334
AT1G02220,0.00074402534
AT1G02230,0.00092438783
AT1G02250,0.0004884094
AT1G02260,0.00037925076
AT1G02270,0.0011133578
AT1G02280,0.0014531125
AT1G02290,0.0024366952
AT1G02300,0.0024181826
AT1G02305,0.00015657721
AT1G02310,0.0011384295
AT1G02330,0.0004920312
AT1G02335,0.0006753381
AT1G02340,0.00044053438
AT1G02350,0.00037222903
AT1G02360,7.761654e-05
AT1G02370,0.0038679955
AT1G02380,0.00087173015
AT1G02390,0.003011184
AT1G02400,0.0016030094
AT1G02405,0.00023821497
AT1G02410,0.004216053
AT1G02420,9.186883e-05
AT1G02430,3.786698e-05
AT1G02440,0.0020210198
AT1G02450,0.00032107774
AT1G02460,0.002088445
AT1G02470,0.00011014082
AT1G02475,0.0004443348
AT1G02500,0.00027733244
AT1G02510,0.00036927336
AT1G02520,0.00022388753
AT1G02530,0.0029144895
AT1G02560,0.0035299645
